;ID;Post_URL;Img_URL;Likes;Owner;Text;Date
1;CLycW1PLz5J;http://instagram.com/p/CLycW1PLz5J;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/153684344_232564741911605_8356905546854430985_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=PiI0W3Hu4NUAX9PQ-Hm&oh=7de0180dd88733e5162eaa746ea15afe&oe=60623455;25;8187535108;Indovina risultato esatto + il primo marcatore e sarai menzionato nelle nostre stories. #matchday 🏆SERIE A 🏟️ STADIO BENTEGODI 🕞20.45 🆚@hellasveronafc . . . #juventusfc #drughi #stadio #finoallafine #siamolajuve #oldlady #turin  #juve  #vecchiasignora#liveahead #natigobbi #forza #italia  #seriea #serieatim #pirlo #jtc #turin  #coachpirlo #bianconeri #like #allianzstadium  #blackandwhite #liveahead  #daje #campionato;27/02/2021 09:00
2;CLyWXISr2cS;http://instagram.com/p/CLyWXISr2cS;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/153195377_339768094008564_6850261177740002455_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=ax_mJWTM-wUAX_MNe6m&oh=79d928d1d24b2488f5288d06c213d255&oe=60648E90;133;3299668948;It’s showtime!#juveverona#juvehellas#juventushellasverona#beetlejuice#angryzebra79#curvasud#bianconeri#juventus#juventini#instajuve#seriea#adidas#finoallafine#drughi#stron9er#juvestore#matchday#bianconero#juve;27/02/2021 08:08
3;CLxD8yklvAD;http://instagram.com/p/CLxD8yklvAD;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/153759809_1212834499119370_5719321737370379832_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=dwozxJimBHwAX-bDui3&oh=6427c8b3017b71a5468b359a17e47123&oe=6064F144;53;43827807254;#allianzstadium#juventus#vecchiasignora#1897#storiadiungrandeamore#home#blackandwhite#juventusfootballclub#seriea#ucl#finoallafineforzajuventus#biancoenero#calcio#football#soccer#finoallafine#forzajuve#juvestoriadiungrandeamore#torino#turin#vincerenonèimportanteèlunicacosacheconta#followme#uefachampionsleague#adidas#juventusfc#curvasudjuve#drughijuve#drughi#likeforlike#followforfollow;26/02/2021 20:08
4;CLxC6WyDXGU;http://instagram.com/p/CLxC6WyDXGU;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/153710784_3684691131648491_7139064640329065555_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=111&_nc_ohc=0Jd-SmTLqcUAX82kPMa&oh=63d6906c75aee383e1e13f30d2567c72&oe=606421BC;5;9127843696;•Tesseramento• tessera Drughi 2007/08 #drughiultracurvasud #drughibianconeri #drughijuve #drughijuventus #curvasudjuventus #curvasudjuve #drughi #drughijuve #drughijuventus;26/02/2021 19:59
5;CLwijUJDViV;http://instagram.com/p/CLwijUJDViV;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/153707481_107072604672054_2498540834893182965_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=Mr55fLPMJgoAX_VEpNB&oh=c57d1fbe2362dc1bc1fbd6b571393d53&oe=60620299;121;32166148079;• JUVENTUS - Torino 92/93  . . . #tifo #tifosi #footballfans  #footballfanatics #ultras #ultrasworld #kibice #hincha #hinchada #ultrastyle #ultrastifo #ultraslife #ultrasliberi #ultraslifestyle #barrabrava  #nopyronoparty #againstmodernfootball #supporters #juventus #juventusfans #ultrasjuve #forzajuve #drughi #forzajuventus #forzajuve⚪️⚫️ #pyroshow #pyroisnotacrime #ultrasitalia #ultrasitaliani #calcio;26/02/2021 15:16
6;CLua3CunvY2;http://instagram.com/p/CLua3CunvY2;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/153347121_464786771376455_7955235522806045419_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=111&_nc_ohc=BhGeubDHpsUAX9IFCpC&oh=59c44914b8fe8bcc751e39dbe5e5d7a7&oe=6062C1C8;41;39493094614;🖤;25/02/2021 19:30
7;CLuQjkuIPR-;http://instagram.com/p/CLuQjkuIPR-;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/153615134_3473806832731249_2313830189268659147_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=101&_nc_ohc=O6voszwpvRkAX-p7NX-&oh=01221e1160a59ae4d3c0a760f27b5f98&oe=60631BF7;18;45302016738;Come mai, quando il regista è Kubrick, qualcosa va sempre storto?😅 . Se oltre alle curiosità, ti piacciono anche le recensioni, ascolta il Podcast di Cinefocus LINK IN BIO 👉 @cinefocus_podcast . #aranciameccanica #kubrick #drughi #movie #cinema #film #filmbelli #filmdavedere #filmaddict #filmlover #movielover #cinemaaddict #filmscene #art #cit #citazioni #frasi #parole #frasifilm #aforismi #cinemapodcast #moviequotes #instagood #instamovies #instaflick #moviestar #photooftheday #cinemalover #l4l #f4f;25/02/2021 18:00
8;CLtj9u7Dopy;http://instagram.com/p/CLtj9u7Dopy;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152867868_3739431916111279_2205989109136933738_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Mbf3KkBUb4oAX9KN8NQ&oh=bb14f9834d1b890d87c2aeb41dade020&oe=60628D0D;346;349291628;"""Penso che sia passato abbastanza tempo da sapere che la violenza sullo schermo è ormai satura, non puoi andare oltre. Penso che quando Sam Peckinpah girava i suoi film, quella era davvero violenza";
9;CLsO4GHl9Ne;http://instagram.com/p/CLsO4GHl9Ne;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/153198115_3835952433092614_6695005582731697508_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=FjoxiyIs59cAX86MvTJ&oh=adc0018d802728315ecb02205e409932&oe=60619C70;6;1546569512;AranciaMeccanica#film#StanleyKubric#cinema#vintage#capolavoro#anni70#drughi#malcommcdowel#🎥#🎬🎞️📽️📹🍿#imsingingintherain#;24/02/2021 23:07
10;CLsIJzVntIR;http://instagram.com/p/CLsIJzVntIR;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/154534793_5255469921191634_7839611115973650359_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=1wIqblWKqWcAX8o5dKu&oh=eaff51033ee82c523d2e030b0d73a2fd&oe=60651A81;14;43129016854;Siete tutti su #Iris? @cinetvb  #cinetvb #stanleykubrick #instagood #instalike #picoftheday #pictureoftheday #tormarancia #tormaranciastreetart #roma #roma🇮🇹 #romacapitale #aranciameccanica #instadaily #drughi;24/02/2021 22:08
