;ID;Post_URL;Img_URL;Likes;Owner;Text;Date
1;CLro6V4D1Yt;http://instagram.com/p/CLro6V4D1Yt;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e15/153669592_957166955023463_8759915903012426482_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=xVRuGnNDglYAX-jGB6t&tp=1&oh=1625721c41be4773a533b5cd5270c46e&oe=60618AD5;0;3453999269;Cieplo sie robi... pamietajcie o waznej rzeczy! <U+0001F60E>  #PolscyKibice #Kibice #Ultras #Supporters #Poland #Fans #FootballFans #PolishHooligans #Passion #UltrasFans #Hooligans #UltrasWorld #UltraStyle #UltrasTifo #CasualUltras #AvantiUltras #OtwieracStadiony #soccer #nopyronoparty #footballculture #footballhooligans #UltrasLiberi #OtwieracStadiony;24/02/2021 17:35
2;CLrl-oqK8-2;http://instagram.com/p/CLrl-oqK8-2;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153770714_4010738135602908_5022930245720024414_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ZsFHXuSTlOoAX__11Ar&tp=1&oh=cc93476073558c2b178197220de55bd1&oe=6061D732;3;7716601843;Matteo #italia #italy #<U+0001F1EE><U+0001F1F9> #<U+2764><U+FE0F> #facebookmatteomatt @curva.sud.milano_ @iribellideglistadi #curvasudmilano #fossadeileoni #storiaultras #curvasud #curva #ultrasmilan #ultras #ultrasliberi #nonmollaremai #vincere #forzamilan #shooting #<U+0001F4E3> #<U+26BD><U+FE0F> #<U+0001F60E>;24/02/2021 17:10
3;CLrl-DIAR8Z;http://instagram.com/p/CLrl-DIAR8Z;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153572321_277625767324222_5964370640097856867_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=nI9z1akpFKMAX8LnnD0&tp=1&oh=7eed38c995e252ad3c9c96fec526f8c1&oe=605F836E;8;11636684938;"Ottima prova dei nostri Ragazzi, contro un Troina inesistente. Parte al massimo sin dal primo minuto l'Acireale, fin quando dopo 24 secondi trova il primo della gara con Buffa con un destro che termina di lato alla porta difesa da Aiolfi, si va avanti col Troina che trova due occasioni, la prima con Balistreri che non trova lo specchio della porta da ottima posizione e un altra con un cross all'interno dell'area di rigore granata, ma il colpo di testa ancora di Balistreri va a spegnersi alto sopra la traversa, finalmente si sblocca la partita al 32' dopo un cross rasoterra, Pozzebon vede Talla che con un sinistro di prima fulmina Aiolfi,poi ancora Pozzebon che sfiora sfiora il 2-0, dopo 5' l'Acireale è ancora in avanti con Buffa che sfiora anche lui  il gol 2-0, ma la palla rimane la Vardera atterrato all'interno dell'area, rigore che Rizzo trasforma per il 2-0. A inizio ripresa c'è un calcio di rigore per il Troina che all'inizio Balistreri sbaglia e il pallone si va a schiantare sopra la traversa e poi con una sforbiciata lo insacca ma l'arbitro lo annulla per ""Fuorigioco"". Dopo una serie di occasione ancora per i granata si arriva al 77' quando Savanarola mette il pallone al centro, De Felice va in scivolata ma il pallone va sul palo, arriva dalle retrovie Buffa che insacca il pallone del 3-0, poco dopo ancora De Felice sfiora il gol del 4-0. Dunque un ottima prova dei nostri ragazzi, avremmo maggiori informazioni di quello che succederà stasera a Lunedì Granata, non ci resta che incrociare le dita<U+0001F91E>. Testa al Sant'Agata<U+0001F1F1><U+0001F1FB>. • • • #passioneementalità #ultrasacireale #goodmorning #ultrasliberi #birraebotte #acirealetroina #noncinepinuddu #nonciavretemaicomevoletevoi #oconnoiocontrodinoi #birra #fumogeni #bordello #unicapassione.";24/02/2021 17:09
4;CLrlUTODueg;http://instagram.com/p/CLrlUTODueg;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/152798633_552914149027273_50773419112203014_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=P8AhnkjPNQAAX9hLT9a&tp=1&oh=8a4ef52f5bfe551fd64496be33bbdc4f&oe=605FE198;42;32166148079;• COMO - Ascoli 84/85  . . . #tifo #tifosi #kibice #footballfans #hincha #hinchada #ultras #ultrasworld #ultrastifo #ultrastyle #ultraslife #ultrasliberi #ultraslifestyle #barrabrava #faszination #navijaci #torcida #nopyronoparty #pyroisnotacrime #hooligans #acab #1312 #againstmodernfootball #ultrasitalia #ultrasitaliani #como #comocalcio #forzacomo;24/02/2021 17:04
5;CLrkPp5FKIk;http://instagram.com/p/CLrkPp5FKIk;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/152870002_1291413791252118_6592575683314459843_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=ZeaBeUg_h8AAX97ySz5&tp=1&oh=74781319011e0a15bfcefb39e149e3f2&oe=60602D07;8;2226486392;no-text;24/02/2021 16:54
6;CLrhHX4F3Rw;http://instagram.com/p/CLrhHX4F3Rw;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/153283677_696510191015897_8129342264244254455_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ZcvbX-D3C7cAX8zFFRP&tp=1&oh=07298785853c053be8387d93633df3c8&oe=605F5F15;9;485835296;NOSTALGIA DI UN CALCIO CHE NON C’È PIÙ <U+0001F499><U+26BD><U+FE0F><U+0001F4E2> #calcio #tifosi #ultras #napoli #napoliultras #ultrasnapoli #sscnapoli #calcionapoli #avantinapoli #solonapoli #diffidaticonnoi #diffidati #onore #vanto #ultrasliberi;24/02/2021 16:27
7;CLrdPiYDmG9;http://instagram.com/p/CLrdPiYDmG9;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/154258541_283728929760771_3273401700954594582_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=cwfGSprF4MQAX_S5Hq9&tp=1&oh=86b96223552477ad7e9f47efbd1e7a89&oe=6038FDDF;85;43603018858;AC Milan vs Inter! <U+0001F1EE><U+0001F1F9> 21.02.31  Follow @thisisourground for more <U+0001F525>  -  #ultras #ultrasmentality #ultrasworld  #pyro #tifo #ultrasmalaya #hooligan #hooligans #hools #soccer #football #support #matchday #footballculture #acab #1312 #stoneisland #ultrasliberi #ultraslife #ultrastyle #thisisourground  #inter #intermilan #curvanord #curvanordmilano #internazionale #curvasudmilano #acmilan #milan #milano;24/02/2021 15:54
8;CLrc3SajJTZ;http://instagram.com/p/CLrc3SajJTZ;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153115369_264811161869880_8131466908396961822_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=y18HERBupVgAX_DNeYs&tp=1&oh=466456bd1cb299efd1d61c7d7b4a00a0&oe=606035F8;4;7304912617;<U+0428><U+041E><U+0420><U+0422><U+042B>  STONE ISLAND NYLON METAL Size L Price 6000 RUR   <U+0416><U+0434><U+0451><U+043C> <U+0432><U+0430><U+0441> <U+0435><U+0436><U+0435><U+0434><U+043D><U+0435><U+0432><U+043D><U+043E> <U+0441> 12:00 <U+0434><U+043E> 21:00  <U+043C>. <U+041F><U+0440><U+043E><U+0441><U+043F><U+0435><U+043A><U+0442> <U+041C><U+0438><U+0440><U+0430>, 27 , <U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>  #hooligans #casuals #ultras #awaydays #acab #stoneisland #casualmoscow #nopyronoparty #ralphlauren #casualclobber #casuallyobsessed #againstmodernfootball #fredperry #ultrasworld #clobber #casualwayoflife #casuallife #casuallook #tifo #ultrasliberi #ultrasmentality #pyro #ultrastyle #ultraslife #anf #1312 #casualgirl <U+0001F4F8>@sorokina_mp;24/02/2021 15:50
9;CLrcXrkqgs1;http://instagram.com/p/CLrcXrkqgs1;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/153180518_375779386872976_823432988562093229_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=F_0gFurTkk8AX9FkZvO&tp=1&oh=d7ae90c594a9ea6266f564cbc6fad337&oe=6061173E;3;7716601843;Matteo #italia #italy #<U+0001F1EE><U+0001F1F9> #<U+2764><U+FE0F> #<U+0001F499> #facebookmatteomatt @sezionearma1904 @gradinata_nord_sanremo @udpz.popular.football.official @iribellideglistadi @curveinfiammate @curveitaliane @movimentoultrasitaliano #sezionearma #gradinatanordsanremo #gradinatanord #sanremesecalcio1904 #1904 #matuziani #sanremese #ultras #ultrasitalia #ultrasliberi #nonmollaremai #vincere #forzasanremese #nelcuore #tuttiinsieme #alèsanremo #shooting #<U+0001F4E3> #<U+26BD><U+FE0F> #<U+0001F44A> #<U+0001F4AA><U+0001F3FB> #<U+0001F60E>;24/02/2021 15:46
10;CLrb__6DOoz;http://instagram.com/p/CLrb__6DOoz;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153082609_180790190174111_94256191158440825_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=yhL1E34NemoAX_UPiK0&tp=1&oh=ac6300087b67c76916ad877cddd49b26&oe=603887BF;57;43603018858;Back in the days! Schalke 04 supporters away in Cologne! <U+0001F44F><U+0001F3FC><U+0001F1E9><U+0001F1EA> 1. FC Cologne - Schalke 04  Follow @thisisourground for more <U+0001F525>  -  #ultras #ultrasmentality #ultrasworld  #pyro #tifo #ultrasmalaya #hooligan #hooligans #hools #soccer #football #support #matchday #footballculture #acab #1312 #stoneisland #ultrasliberi #ultraslife #ultrastyle #thisisourground #schalke #schalke04 #schalkeundderfcn #s04 #gelsenkirchen #cologne #fcko¨ln #ko¨ln #1fcko¨ln;24/02/2021 15:45
